"","Title","Journal","Year","text","Keywords","label"
"11","Uniting the Tribes: Using Text for Marketing Insight","Journal of Marketing",2020,"Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.","topic model",1
"12","Full Disclosure: How Smartphones Enhance Consumer Self-Disclosure","Journal of Marketing",2020,"Results from three large-scale field studies and two controlled experiments show that consumers tend to be more self-disclosing when generating content on their smartphone versus personal computer. This tendency is found in a wide range of domains including social media posts, online restaurant reviews, open-ended survey responses, and compliance with requests for personal information in web advertisements. The authors show that this increased willingness to self-disclose on one?s smartphone arises from the psychological effects of two distinguishing properties of the device: (1) feelings of comfort that many associate with their smartphone and (2) a tendency to narrowly focus attention on the disclosure task at hand due to the relative difficulty of generating content on the smaller device. The enhancing effect of smartphones on self-disclosure yields several important marketing implications, including the creation of content that is perceived as more persuasive by outside readers. The authors explore implications for how these findings can be strategically leveraged by managers, including how they may generalize to other emerging technologies.","computational linguistics",1
"13","The Enhancing Versus Backfiring Effects of Positive Emotion in Consumer Reviews","Journal of Marketing Research",2020,"Researchers, marketers, and consumers often believe that amplifying emotional content is impactful for the spread of information and purchasing decisions. However, there is little systematic investigation of when emotionality backfires. This research demonstrates when and why positive emotion can have enhancing versus backfiring effects. The authors find that reviewers who express greater positive emotion are indeed more positive toward their products, regardless of product type. In addition, expressed emotion for hedonic products has a positive impact when read by others, but this emotion backfires for utilitarian products, leading others to be less positive. The authors construct a conceptual model of these effects and show that violated expectations leading to decreased trust underlie this divergence between reviewers and readers. The effects occur in well-controlled experiments as well as computational linguistic analysis of 100,000 Amazon reviews across 500 products. Indeed, emotional reviews of utilitarian products are less likely to become popular and be displayed on the product?s front page on Amazon. This work also introduces a novel tool for quantifying natural language in marketing: the Evaluative Lexicon.","computational linguistics",0
"14","Is a Picture Worth a Thousand Words? An Empirical Study of Image Content and Social Media Engagement","Journal of Marketing Research",2020,"Are social media posts with pictures more popular than those without? Why do pictures with certain characteristics induce higher engagement than some other pictures? Using data sets of social media posts about major airlines and sport utility vehicle brands collected from Twitter and Instagram, the authors empirically examine the influence of image content on social media engagement. After accounting for selection bias on the inclusion of image content, the authors find a significant and robust positive mere presence effect of image content on user engagement in both product categories on Twitter. They also find that high-quality and professionally shot pictures consistently lead to higher engagement on both platforms for both product categories. However, the effect of colorfulness varies by product category, while the presence of human face and image?text fit can induce higher user engagement on Twitter but not on Instagram. These findings shed light on how to improve social media engagement using image content.","computational linguistics",0
"15","Uniting the Tribes: Using Text for Marketing Insight","Journal of Marketing",2020,"Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.","computational linguistics",1
"16","Path to Purpose? How Online Customer Journeys Differ for Hedonic Versus Utilitarian Purchases","Journal of Marketing",2020,"The authors examine consumers? information channel usage during the customer journey by employing a hedonic and utilitarian (H/U) perspective, an important categorization of consumption purpose. Taking a retailer-category viewpoint to measure the H/U characteristics of 20 product categories at 40 different retailers, this study combines large-scale secondary clickstream and primary survey data to offer actionable insights for retailers in a competitive landscape. The data reveal that, when making hedonic purchases (e.g., toys), consumers employ social media and on-site product pages as early as two weeks before the final purchase. By contrast, for utilitarian purchases (e.g., office supplies), consumers utilize third-party reviews up to two weeks before the final purchase and make relatively greater usage of search engines, deals, and competitors? product pages closer to the time of purchase. Importantly, channel usage is different for sessions in which no purchase is made, indicating that consumers? information channel choices vary significantly with the H/U characteristics of purchases. The article closes with an extensive discussion of the significant implications for managing customer touchpoints.","user-generated-content",1
"17","Negative Reviews, Positive Impact: Consumer Empathetic Responding to Unfair Word of Mouth","Journal of Marketing",2020,"This research documents how negative reviews, when perceived as unfair, can activate feelings of empathy toward firms that have been wronged. Six studies and four supplemental experiments provide converging evidence that this experienced empathy for the firm motivates supportive consumer responses such as paying higher purchase prices and reporting increased patronage intentions. Importantly, this research highlights factors that can increase or decrease empathy toward a firm. For instance, adopting the reviewer?s perspective when evaluating an unfair negative review can reduce positive consumer responses to a firm, whereas conditions that enhance the ability to experience empathy?such as when reviews are highly unfair, when the identity of the employee is made salient, or when the firm responds in an empathetic manner?can result in positive consumer responses toward the firm. Overall, this work extends the understanding of consumers? responses to word of mouth in the marketplace by highlighting the role of perceived (un)fairness. The authors discuss the theoretical and practical implications of the findings for better management of consumer reviews.","user-generated-content",1
"18","The Effect of Links and Excerpts on Internet News Consumption","Journal of Marketing Research",2020,"Internet news and search sites often excerpt content from and link to competing news outlets. On the one hand, providing outbound links can make the linking site more attractive, even to the point of stealing traffic from the linked sites. Regulatory policy, such as the European Union?s Copyright Directive Article 15 taxing links, is predicated in part on this idea. On the other hand, receiving inbound links can increase a linked site?s audience by informing readers about its news content that day. To explore these opposing perspectives, the authors develop a dynamic learning model and fit it to browsing and link data from celebrity news sites. They then simulate how banning links affects consumer browsing and find that linking increases celebrity news consumption, especially among consumers who browse the least. On average, linking benefits both the linking and linked sites. The authors estimate that exposure to a link increases the likelihood of visiting the linked site by .14%. This increase is approximately three times the commonly reported click-through rate for paid display advertisements.","user-generated-content",0
"19","Full Disclosure: How Smartphones Enhance Consumer Self-Disclosure","Journal of Marketing",2020,"Results from three large-scale field studies and two controlled experiments show that consumers tend to be more self-disclosing when generating content on their smartphone versus personal computer. This tendency is found in a wide range of domains including social media posts, online restaurant reviews, open-ended survey responses, and compliance with requests for personal information in web advertisements. The authors show that this increased willingness to self-disclose on one?s smartphone arises from the psychological effects of two distinguishing properties of the device: (1) feelings of comfort that many associate with their smartphone and (2) a tendency to narrowly focus attention on the disclosure task at hand due to the relative difficulty of generating content on the smaller device. The enhancing effect of smartphones on self-disclosure yields several important marketing implications, including the creation of content that is perceived as more persuasive by outside readers. The authors explore implications for how these findings can be strategically leveraged by managers, including how they may generalize to other emerging technologies.","user-generated-content",1
"20","The Strength of Weak-Tie Consensus Language","Journal of Marketing Research",2020,"Every day, consumers share word of mouth (WOM) on how products and behaviors are commonly adopted through the use of consensus language. Consensus language refers to words and expressions that suggest general agreement among a group of people regarding an opinion, product, or behavior (e.g., ?everyone likes this movie?). In a series of online and field experiments, the authors demonstrate that the interpretation and persuasiveness of consensus language depends on the tie strength between the communicator and the receiver of WOM. Although abundant literature highlights the advantage of strong ties (e.g., close friends, family) in influence and persuasion, the authors find that weak ties (e.g., distant friends, acquaintances) are more influential than strong ties when using consensus language. The authors theorize and demonstrate that this effect occurs because weak ties evoke perceptions of a larger and more diverse group in consensus, which signals greater validity for the issue at hand. These findings contribute to research on WOM, tie strength, and descriptive norms and provide practical implications for marketers on ways to analyze and encourage consumer discourse.","user-generated-content",0
"21","Branding in a Hyperconnected World: Refocusing Theories and Rethinking Boundaries","Journal of Marketing",2020,"Technological advances have resulted in a hyperconnected world, requiring a reassessment of branding research from the perspectives of firms, consumers, and society. Brands are shifting away from single ownership to shared ownership, as heightened access to information and people is allowing more stakeholders to cocreate brand meanings and experiences alongside traditional brand owners and managers. Moreover, hyperconnectivity has allowed existing brands to expand their geographic reach and societal roles, while new types of branded entities (ideas, people, places, and organizational brands) are further stretching the branding space. To help establish a new branding paradigm that accounts for these changes, the authors address the following questions: (1) What are the roles and functions of brands?, (2) How is brand value (co)created?, and (3) How should brands be managed? Throughout the article, the authors also identify future research issues that require scholarly attention, with the aim of aligning branding theory and practice with the realities of a hyperconnected world.","user-generated-content",1
"22","Improvised Marketing Interventions in Social Media","Journal of Marketing",2020,"Online virality has attracted the attention of academics and marketers who want to identify the characteristics of online content that promote sharing. This article adds to this body of research by examining the phenomenon of improvised marketing interventions (IMIs)?social media actions that are composed and executed in real time proximal to an external event. Using the concept of quick wit, and theorizing that the effect of IMIs is furthered by humor and timeliness or unanticipation, the authors find evidence of these effects on both virality and firm value across five multimethod studies, including quasiexperiments, experiments, and archival data analysis. These findings point to the potential of IMIs in social media and to the features that firms should proactively focus on managing in order to reap the observed online sharing and firm value benefits.","user-generated-content",1
"23","Is a Picture Worth a Thousand Words? An Empirical Study of Image Content and Social Media Engagement","Journal of Marketing Research",2020,"Are social media posts with pictures more popular than those without? Why do pictures with certain characteristics induce higher engagement than some other pictures? Using data sets of social media posts about major airlines and sport utility vehicle brands collected from Twitter and Instagram, the authors empirically examine the influence of image content on social media engagement. After accounting for selection bias on the inclusion of image content, the authors find a significant and robust positive mere presence effect of image content on user engagement in both product categories on Twitter. They also find that high-quality and professionally shot pictures consistently lead to higher engagement on both platforms for both product categories. However, the effect of colorfulness varies by product category, while the presence of human face and image?text fit can induce higher user engagement on Twitter but not on Instagram. These findings shed light on how to improve social media engagement using image content.","user-generated-content",0
"24","Modeling Dynamic Heterogeneity Using Gaussian Processes","Journal of Marketing Research",2020,"Marketing research relies on individual-level estimates to understand the rich heterogeneity of consumers, firms, and products. While much of the literature focuses on capturing static cross-sectional heterogeneity, little research has been done on modeling dynamic heterogeneity, or the heterogeneous evolution of individual-level model parameters. In this work, the authors propose a novel framework for capturing the dynamics of heterogeneity, using individual-level, latent, Bayesian nonparametric Gaussian processes. Similar to standard heterogeneity specifications, this Gaussian process dynamic heterogeneity (GPDH) specification models individual-level parameters as flexible variations around population-level trends, allowing for sharing of statistical information both across individuals and within individuals over time. This hierarchical structure provides precise individual-level insights regarding parameter dynamics. The authors show that GPDH nests existing heterogeneity specifications and that not flexibly capturing individual-level dynamics may result in biased parameter estimates. Substantively, they apply GPDH to understand preference dynamics and to model the evolution of online reviews. Across both applications, they find robust evidence of dynamic heterogeneity and illustrate GPDH?s rich managerial insights, with implications for targeting, pricing, and market structure analysis.","user-generated-content",0
"25","Uniting the Tribes: Using Text for Marketing Insight","Journal of Marketing",2020,"Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.","user-generated-content",1
"26","The Impact of Advertising and R&D on Bankruptcy Survival: A Double-Edged Sword","Journal of Marketing",2020,"Advertising and research and development (R&D) benefit firms by increasing sales and shareholder value. However, when a firm is in bankruptcy, the cumulative effects of its past advertising and R&D can be a double-edged sword. On the one hand, they increase the firm?s expected future cash flow, which increases the likelihood that the bankruptcy court will decide the firm can survive. On the other hand, they increase the liquidation value of the firm?s assets, which decreases the likelihood that the bankruptcy court will decide that the firm can survive. The author argues that the ability of advertising and R&D to either increase or decrease bankruptcy survival is contingent on the influence that the firm?s suppliers have, relative to other creditors, on the bankruptcy court?s decision. Advertising and R&D increase (decrease) bankruptcy survival when suppliers have a high (low) level of influence. Empirical analyses, conducted on 1,504 bankruptcies, show that advertising (R&D) increases bankruptcy survival when at least 35%?38% (18%?21%) of the bankrupt firm?s debt has been borrowed from suppliers, whereas it decreases bankruptcy survival below this point. Out-of-sample machine learning validation shows that the ability to predict whether a bankrupt customer will survive is substantially improved by considering the firm?s advertising and R&D.","machine learning",1
"27","Turning Complaining Customers into Loyal Customers: Moderators of the Complaint Handling?Customer Loyalty Relationship","Journal of Marketing",2020,"Firms spend substantial resources responding to customer complaints, and the marketing profession has a long history of supporting that enterprise to promote customer loyalty. The authors question whether this response is always warranted or whether its effectiveness instead depends on economic, industry, customer?firm, product/service, and customer segment factors that may alter the firm?s incentives to compete on complaint management. To consider this question, they integrate economic and marketing theories and investigate factors that influence the complaint recovery?customer loyalty relationship via a sample of 35,597 complaining customers spanning a ten-year period across economic sectors, industries, and firms. Overall, the authors find that the recovery?loyalty relationship is stronger in faster-growing economies, for industries with more competition, for luxury products, and for customers with higher satisfaction and higher expectations of customization. Conversely, the recovery?loyalty relationship is weaker when customers? expectations of product/service reliability are higher, for manufactured goods, and for men compared with women. The authors discuss implications of these results for managers, policy makers, and researchers for more effective management of customer complaints.","machine learning",1
"28","Contour-as-Face Framework: A Method to Preserve Privacy and Perception","Journal of Marketing Research",2020,"Consumers and marketers use facial information to make important inferences about others in many business contexts. However, consumers and firms are increasingly concerned about privacy and discrimination. To address privacy?perception trade-offs, the authors propose a novel contour-as-face (CaF) framework that transforms face images into contour images incorporating both the nonoutline and outline features of facial parts. In three empirical studies, the authors (1) compare human perceptions of face and contour images along 15 dimensions commonly assessed in marketing contexts; (2) investigate the effectiveness of contour images for protecting anonymity related to identity, age, and gender; and (3) implement the CaF framework in a real-life online dating context. Results show that the CaF framework effectively resolves privacy?perception trade-off problems by preserving the information that is useful for humans to make inferences about many relevant perceptual dimensions in marketing while making it virtually impossible for humans to infer identity and very difficult to infer age and gender accurately?two critical discrimination factors. Results from the field implementation demonstrate the feasibility and value of using the CaF framework for real-life decision making.","machine learning",0
"29","The Faces of Success: Beauty and Ugliness Premiums in e-Commerce Platforms","Journal of Marketing",2020,"Given the positive bias toward attractive people in society, online sellers are justifiably apprehensive about perceptions of their profile pictures. Although the existing literature emphasizes the ?beauty premium? and the ?ugliness penalty,? the current studies of seller profile pictures on customer-to-customer e-commerce platforms find a U-shaped relationship between facial attractiveness and product sales (i.e., both beauty and ugliness premiums and, thus, a ?plainness penalty?). By analyzing two large data sets, the authors find that both attractive and unattractive people sell significantly more than plain-looking people. Two online experiments reveal that attractive sellers enjoy greater source credibility due to perceived sociability and competence, whereas unattractive sellers are considered more believable on the basis of their perceived competence. While a beauty premium is apparent for appearance-relevant products, an ugliness premium is more pronounced for expertise-relevant products and for female consumers evaluating male sellers. These findings highlight the influence of facial appearance as a key vehicle for impression formation in online platforms and its complex effects in e-commerce and marketing.","machine learning",1
"30","Marketing Excellence: Nature, Measurement, and Investor Valuations","Journal of Marketing",2020,"Marketing excellence is a foundational principle for the discipline that is gaining increasing attention among managers and investors. Despite this, the nature of marketing excellence and its effectiveness remain unclear. This research offers insight by addressing two questions: (1) How do managers understand and exercise marketing excellence? and (2) How do investors evaluate marketing excellence? Study 1 merges insights from 39 in-depth interviews with senior executives and secondary data from 150 firm strategies to find that marketing excellence is a strategy type focused on achieving organic growth by executing priorities related to the marketing ecosystem, end user, and marketing agility. Study 2 quantifies the impact of marketing excellence on firm value by using a machine learning algorithm and text analysis through an original dictionary to classify the text from 8,317 letters to shareholders in 1,727 U.S. firm annual reports. Calendar-time portfolio models reveal abnormal one-year returns of up to 8.58% for marketing excellence?returns that outpace those associated with market orientation and marketing capabilities. Findings offer guidance to managers, educators, and investors regarding how marketing excellence manifests?paving the way for the allocation of firm resources to ensure that marketing drives organic growth.","machine learning",1
"31","Path to Purpose? How Online Customer Journeys Differ for Hedonic Versus Utilitarian Purchases","Journal of Marketing",2020,"The authors examine consumers? information channel usage during the customer journey by employing a hedonic and utilitarian (H/U) perspective, an important categorization of consumption purpose. Taking a retailer-category viewpoint to measure the H/U characteristics of 20 product categories at 40 different retailers, this study combines large-scale secondary clickstream and primary survey data to offer actionable insights for retailers in a competitive landscape. The data reveal that, when making hedonic purchases (e.g., toys), consumers employ social media and on-site product pages as early as two weeks before the final purchase. By contrast, for utilitarian purchases (e.g., office supplies), consumers utilize third-party reviews up to two weeks before the final purchase and make relatively greater usage of search engines, deals, and competitors? product pages closer to the time of purchase. Importantly, channel usage is different for sessions in which no purchase is made, indicating that consumers? information channel choices vary significantly with the H/U characteristics of purchases. The article closes with an extensive discussion of the significant implications for managing customer touchpoints.","machine learning",1
"32","Advertising Effectiveness for Multiple Retailer-Brands in a Multimedia and Multichannel Environment","Journal of Marketing Research",2020,"An important aspect of multimedia advertising effectiveness that remains unexplored is a customer-level analysis of the relative importance of each medium for multiple retailer-brands within a product category. The increasing availability of customer databases for parent companies containing multimedia ad exposures, sales transactions in several purchase channels, and information across multiple retailer-brands now allows for a broader examination of advertising effectiveness. In this research, the authors monitor 4,000 customers over two years, linking their exposure to three media (email, catalogs, and paid search) to their in-store and online purchases for three retailer-brands in the clothing category. They develop a Tobit model for sales response to multimedia advertising that captures within-brand and within-channel correlations and accommodates individual-level advertising response parameters. Due to the very large number of observations (2.4 million) and random effects (60), the authors employ an emerging machine learning technique, variational Bayes, to estimate the model parameters. They find that email and sometimes catalogs from a focal retailer-brand have a negative influence on other retailer-brands in the category, whereas paid search influences only the focal retailer-brand. However, competitor catalogs often positively influence focal retailer-brand sales, but only among omnichannel customers. They segment customers by retailer-brand and channel usage, revealing a sizeable group of customers who shop across multiple retailer-brands and both purchase channels. Moreover, this segment is the most responsive to multimedia advertising.","machine learning",0
"33","Improving Cancer Outreach Effectiveness Through Targeting and Economic Assessments: Insights from a Randomized Field Experiment","Journal of Marketing",2020,"Patients at risk for hepatocellular carcinoma or liver cancer should undergo semiannual screening tests to facilitate early detection, effective treatment options at lower cost, better recovery prognosis, and higher life expectancy. Health care institutions invest in direct-to-patient outreach marketing to encourage regular screening. They ask the following questions: (1) Does the effectiveness of outreach vary among patients and over time?; (2) What is the return on outreach?; and (3) Can patient-level targeted outreach increase the return? The authors use a multiperiod, randomized field experiment involving 1,800 patients. Overall, relative to the usual-care condition, outreach alone (outreach with patient navigation) increases screening completion rates by 10?20 (13?24) percentage points. Causal forests demonstrate that patient-level treatment effects vary substantially across periods and by patients? demographics, health status, visit history, health system accessibility, and neighborhood socioeconomic status, thereby facilitating the implementation of the targeted outreach program. A simulation shows that the targeted outreach program improves the return on the randomized outreach program by 74%?96% or $1.6 million to $2 million. Thus, outreach marketing provides a substantial positive payoff to the health care system.","machine learning",1
