title,journal,year,text,label
Integrating Producers at the Base of the Pyramid with Global Markets: A Market Learning Approach,Journal of International Marketing,2015,"International marketing literature suggests that through market learning, businesses develop market-valued capabilities that are the basis of their performance. Therefore, market learning is also of importance to producers at the base of the pyramid (BoP), whose ability to climb out of poverty often depends on the purchasing power of those in export markets. However, the ways in which BoP-producer-based export chains learn from foreign users of their products and incorporate these insights into their decisions are not yet clear. Using case studies from Benin, the authors examine how market learning processes function in supply chains at the BoP. A cross-case comparison suggests that market connections are established when export market information is generated by formal-sector organizations and when such organizations establish formal ways of sharing information with BoP producers. The access to export markets becomes sustainable if formal institutions also support the use of information. The study has implications for procurement by exporters and for pro-poor development.",0
Split Questionnaire Design for Massive Surveys,Journal of Marketing Research,2008,"Companies are conducting more and longer surveys than ever before. Massive questionnaires are pervasive in marketing practice. As an alternative to the heuristic methods that are currently used to split questionnaires, this study develops a methodology to design the split questionnaire in a way that minimizes information loss. Using estimates from a first wave or pilot study, the authors apply the modified Fedorov algorithm using the Kullback?Leibler distance as a design criterion to find the optimal splits. Their design criterion is based on a general mixed data model that accommodates continuous, rank-ordered, and discrete measurement scales. The optimal construction of the split questionnaire design is easy and fast. The authors use Markov chain Monte Carlo procedures to impute missing values that result from the design. They generate split questionnaire designs by selecting either entire blocks of questions (between-block design) or sets of questions in each block (within-block design). They compare the efficiency of split questionnaires generated with the proposed method with multiple matrix sampling designs, incomplete block designs, and a heuristic procedure, using synthetic and empirical Web survey data. The authors illustrate in a field study that as a result of reduced respondent burden, the quality of data using split questionnaire designs improves.",1
"Location, Location, Location: An Analysis of Profitability of Position in Online Advertising Markets",Journal of Marketing Research,2011,"The authors evaluate the impact of ad placement on revenues and profits generated from sponsored search. Their approach uses data generated through a field experiment for several keywords from an online retailer's ad campaign. Using a hierarchical Bayesian model, the authors measure the impact of ad placement on both click-through and conversion rates. They find that while click-through rate decreases with position, conversion rate increases with position and is even higher for more specific keywords. The net effect is that, contrary to the conventional wisdom in the industry, the topmost position is not necessarily the revenue-or profit-maximizing position. The authors? results inform the advertising strategies of firms participating in sponsored search auctions and provide insight into consumer behavior in these environments. Specifically, they help correct a significant misunderstanding among advertisers regarding the value of the top position. Furthermore, they reveal potential inefficiencies in current auction mechanisms that search engines use. The authors? results also reveal the information search strategies that consumers use in sponsored search and provide evidence of recency bias for immediate purchases.",1
A Cross-National and Cross-Cultural Approach to Global Market Segmentation: An Application Using Consumers? Perceived Service Quality,Journal of International Marketing,2010,"The spread of global culture is being facilitated by the proliferation of transnational corporations, the rise of global capitalism, widespread aspiration for material possessions, and the homogenization of global consumption. The extent of convergence of cultural values across nations has been debated by international marketing researchers. However, from a practical standpoint, transnational firms require a cross-national, cross-cultural approach to market segmentation that can be used to guide the development of global marketing strategies. In this study, the authors investigate the application of cross-national versus cross-cultural approaches to market segmentation through a rigorous empirical investigation in the context of banking services. Although services constitute the fastest growing sector of the world economy, few studies have examined global market segmentation strategies for them. The authors develop theory-based cross-national hypotheses and test them by estimating a structural model of consumers? perceived service quality using survey data from two countries: the United States and India. They test cross-cultural hypotheses by estimating the same model on culture-based clusters. They demonstrate that there are distinctive differences between cross-national and cross-cultural models of perceived service quality and highlight the growing relevance of cross-cultural research approaches. More generally, the cross-national, cross-cultural approach to market segmentation can guide the development of global marketing strategies for services and improve business performance.",0
Developing Global Segments and Forecasting Market Shares: A Simultaneous Approach Using Survey Data,Journal of International Marketing,2003,"Managers who introduce a new product into the global market must answer critical questions about market size, market responsiveness, and segmentation strategy. Current methods provide a piecemeal approach toward answering these questions. This article provides a new integrated method. The author uses survey-based discrete-choice methodology coupled with latent-class models to identify responsive global segments for a new global satellite-based paging service. The findings reveal seven distinct segments in terms of price responsiveness, size, and market potential. The author shows how these data can be used to develop target segments and marketing strategies. The study adds to the growing literature on international segmentation and pricing.",0
Socio-Cultural Distance and the Choice of Joint Ventures: A Contingency Perspective,Journal of International Marketing,1994,"It is widely believed that firms choose joint venture forms overseas when confronted with high socio-cultural distance. However, the probability of choosing the joint venture form is expected to be moderated by the firm-specific characteristics of the investing firm as well as country-specific characteristics of the country of investment. This study examines the moderating role of some firm- and country-specific factors on a firm's choice of joint venture form in response to socio-cultural distance. The firm-specific factors examined in this study include size, multinationality, and technological intensity; and the country-specific factors examined in this study include country risk and market potential. Recent data from a sample of U.S. manufacturing firms is used to test the contingency hypotheses. Results indicate the usefulness of the contingency approach for modeling choice of joint ventures.",0
Seeing the Big Picture: The Effect of Height on the Level of Construal,Journal of Marketing Research,2015,"Drawing on research on grounded cognition and metaphorical representation, the authors propose and confirm in five studies that physical height, or even the mere concept of height, can affect the perceptual and conceptual levels of mental construal. As such, consumers who perceive themselves to be physically ?high? or elevated are more likely to adopt a global perceptual processing and higher level of conceptual construal, whereas those who perceive themselves to be physically ?low? are more likely to adopt a local perceptual processing and lower level of conceptual construal. This difference in construal level also affects product choices that involve trade-offs between long-term benefits and short-term effort. The authors address alternative accounts such as vertical distance, visual distance, and perceived power. By highlighting the novel relationship between height and construal level, these findings contribute to research on grounded cognition and construal-level theory while also providing practical suggestions to marketing managers across a variety of domains.",1
Emotional Compatibility and the Effectiveness of Antidrinking Messages: A Defensive Processing Perspective on Shame and Guilt,Journal of Marketing Research,2010,"Five studies examine how the two distinct emotional states of shame and guilt influence the effectiveness of messages that highlight socially undesirable consequences of alcohol consumption. Appeals that frame others as observing versus suffering the negative consequences of binge drinking differentially activate shame and guilt. Given these emotional consequences of message framing, the authors examine the interaction between incidental shame or guilt and message framing on drinking intentions and behavior. Compatible appeals (i.e., appeals that elicit the same emotion as being incidentally experienced by the consumer) are less effective in influencing behavioral intentions and beverage consumption because of a process in which consumers discount the notion that they may cause the negative consequences outlined in the message. Such defensive processing of compatible messages is driven by a desire to reduce the existing negative emotion.",1
Getting Emotional about Health,Journal of Marketing Research,2007,"The consequences of illness have two crucial types of stakes: for the self and for the family. Therefore, this research examines the effectiveness of health messages that present consequences for the self or for the family, focusing specifically on the dual role of emotions in serving these stakes as a provider of resources and information. The authors theorize that (1) the valence dimension of discrete emotions influences resources, thus fostering or hindering the processing of aversive health information, whereas (2) the self-/other-relatedness dimension of discrete emotions provides information that interacts with the focal referent in the message (self or family) to determine compatibility. In Experiments 1?3, the authors demonstrate that when people are primed with a positive emotion (e.g., happiness, peacefulness), the compatibility between the referent and the discrete emotion fosters the processing of health information. When the primed emotion is negative (e.g., sadness, agitation), however, compatibility hinders processing of the message. In Experiment 4, the authors track emotions before and after exposure to a health message to demonstrate that the observed effect occurs because of an increase in the negative emotional state in compatible situations when people process disease-related information. The authors conclude by discussing the implications of the findings for increasing the effectiveness of health-related messages.",1
The Effect of Review Writing on Learning Engagement in Channel Partner Relationship Management,Journal of Marketing,2018,"To develop the knowledge and skill sets of channel partner firms, manufacturers increasingly introduce learning programs as part of their relationship management strategies. However, the engagement of channel partners in these programs tends to be low. The current research, conducted in collaboration with a Fortune 100 information technology company, examines ways to strengthen learning engagement. In accordance with self-regulated learning theory, the authors propose and demonstrate that when channel partners write reviews of a learning module that they attended, beyond providing ratings, they are better able to reflect on the relevance of their learning experience and are further engaged in learning activities. The audience and focus of these written reviews determine the engagement of the channel partner sales personnel; therefore, review writing is a valuable, informal mechanism to motivate them. These effects are moderated by characteristics of both the channel partner (salesperson's learning orientation and identification with the manufacturer) and the relationship with the manufacturer (length and exclusivity).",0
Curvilinear Effects of Consumer Loyalty Determinants in Relational Exchanges,Journal of Marketing Research,2005,"Drawing from need, motivation, and social exchange theories, this study conceptualizes and empirically examines the differential curvilinear effects of multiple determinants of loyalty intentions, including transactional satisfaction, trust, and value for relational exchanges. The authors conceptualize trust as a ?motivator,? satisfaction as a ?hygiene,? and value as a ?bivalent? factor in consumer loyalty mechanisms. Using consumer data on relational exchanges in two different service contexts?retail clothing and nonbusiness airline travel?and accounting for different sources of error?namely, measurement, common method, and response style?the authors empirically investigate the hypothesized mechanisms. The data support the motivator, or the enhancing role of trust, and the hygiene, or the maintaining role of satisfaction, on loyalty intentions in both contexts. Although the authors also obtain consistent results for the influence of value, its role is aligned with a hygiene mechanism, not a bivalent mechanism. The authors contribute to the study of loyalty antecedents by (1) theoretically proposing the nature and shape of the influence of different loyalty determinants, (2) considering the simultaneous and differential effects of multiple determinants, and (3) drawing implications from the results for theory and managerial practice.",1
Intrafunctional Competitive Intelligence and Sales Performance: A Social Network Perspective,Journal of Marketing,2013,"Salespeople represent a primary source of competitive intelligence (CI), but the contextual factors that influence the performance impact of salesperson CI quality remain underresearched. The authors develop a framework to examine the performance impact of CI quality at the individual salesperson and sales district levels, with sales district CI quality diversity and sales managers' network centrality as contingencies thereof. The empirical results from multilevel data sets of two U.S.-based corporations reveal that district CI quality diversity weakens the positive performance effect of CI quality at both levels. Sales managers' centrality in within-district and peer advice networks buffers the performance losses created by district CI quality diversity, but salespeople's centrality does not have this buffering effect. The study uncovers conditions under which the positive performance impact of salesperson and district CI quality can disappear and even become negative, thus highlighting the role of managers as CI hubs.",0
Why Are Some Salespeople Better at Adapting to Organizational Change?,Journal of Marketing,2010,"This study empirically examines the longitudinal influences of salesperson goal orientations on performance trajectories during a planned change intervention that requires learning to answer two questions. First, what is the functional form of salespeople's performance trajectories during a period of change implementation? Second, why are some salespeople better at adapting to change than others? Polynomial growth models show that the average salesperson performance trajectory displays an initial decline, gradual recovery, and eventual restabilization. Salesperson learning orientation is related positively to larger initial declines, steeper recovery slopes, and higher restabilization levels. In contrast, performance orientation is related positively to smaller initial declines, but shallower recovery slopes and lower restabilization levels. The results suggest that successful implementation of planned change interventions largely depends on identifying and appreciating the heterogeneity of individual traits that share meaning with the change. The study has implications on what sales managers should expect in terms of performance losses and gains during change and how managers can predict which salespeople will reap the largest performance benefits from a change intervention.",0
The Role of Consensus in Sales Team Performance,Journal of Marketing Research,2010,"Although team-based selling is highly prominent in practice, research on the drivers of its effectiveness is sparse. Drawing from the literature on climate consensus, the authors propose that in addition to leadership and team factors, team consensus plays a critical role in boosting sales team effectiveness. Using survey and archival data from a sample of 185 pharmaceutical sales teams, the authors find that high team consensus regarding team-level leadership empowerment behaviors (LEBs) and team interpersonal climate quality enhances team potency given high LEBs but weakens team potency given low LEBs. In turn, team potency translates into sales team performance through both extra-role (team helping behavior) and in-role (team effort) behavior. The authors discuss the implications of these findings.",1
Managing Sales Force Product Perceptions and Control Systemsinthe Success of New Product Introductions,Journal of Marketing Research,2010,"Given the importance of new products, firms may be prone to overmanage sales personnel by using behavior-based control systems that dictate the performance of particular activities related to the introduction. Such controls may be especially tempting given the findings that favorable salesperson product perceptions actually yield less effort on the new product, and behavior-based controls can offset this tendency. However, using longitudinal data from a sample of 226 salespeople, along with external ratings from customers and archival measures of effort and sales performance, the authors demonstrate that such a strategy is shortsighted. Behavior-based controls constrain a salesperson's ability to appropriately allocate effort across his or her customer base, negatively affecting customer product perceptions and, ultimately, new product sales. In contrast, outcome-based control systems enable salespeople to work smarter, and their corresponding effort on behalf of the new product has a more positive effect on customer product perceptions and new product sales.",1
International Market Entry: How Do Small and Medium-Sized Enterprises Make Decisions?,Journal of International Marketing,2017,"Choosing the right international market entry mode is of utmost importance for an internationalizing firm. However, there is a lack of analysis concerning the decision-making process (DMP), specifically with regard to small and medium-sized enterprises (SMEs). The authors study the DMP among SMEs intent on entering international markets and how it affects each firm's international market development strategy. Using six cases based in Finland and Italy, the authors develop a model of the SME DMP. Their results imply that the DMP evolves and goes through various phases. By focusing on the postentry phase, this study enhances knowledge on decision-making frameworks by linking the traditional international marketing literature related to initial entry mode with ?mainstream? international business literature. Furthermore, the study reveals that SMEs adopting a more rational DMP are more likely to succeed in foreign markets, and consequently, it demonstrates the importance of real options reasoning as a theoretical lens for making entry mode decisions in the context of SMEs.",0
How Far Can a Brand Stretch? Understanding the Role of Self-Construal,Journal of Marketing Research,2008,"A brand's stretchability is an important avenue for growth and new product introductions. This research examines the role of an individual-difference variable (self-construal) in enhancing a brand's stretchability potential. It is postulated that an interdependent self-construal leads to a superior ability to uncover relationships among stimuli (e.g., an extension and its parent brand) and thus is likely to enhance the perceived fit of an extension and the likelihood of its acceptance. However, these beneficial effects are likely to emerge only under conditions in which the interdependent consumer is motivated to elaborate extensively on the extension information. Five experiments test the underlying mechanism, its implications for different levels of brand stretch (varying from close to far), and the marketing strategy implications of the proposed theoretical framework.",1
Consumer Response to Negative Publicity: The Moderating Role of Commitment,Journal of Marketing Research,2000,"Even though negative information about brands and companies is widely prevalent in the marketplace, except for case studies, there has been no systematic investigation of how consumers process negative information about the brands they like and use. In the three studies in this research, the authors attempt to bridge this gap. The findings of the first and second studies provide a theoretical framework for understanding how consumers process negative information in the marketplace. Commitment of the consumer toward the brand is identified as a moderator of negative information effects. In the third study, the authors use this theoretical framework to derive and test response strategies that companies can use to counter negative publicity for consumers who are high and low in commitment toward the brand.",1
The Moderating Role of Commitment on the Spillover Effect of Marketing Communications,Journal of Marketing Research,2001,"Spillover refers to the extent to which a message influences beliefs related to attributes that are not contained in the message. The authors find that when consumers are not familiar with a brand, negative information spills over to attributes that are associated with the target attribute but not mentioned in the message. However, positive information does not. When consumers like the brand, a spillover occurs for the positive information as well. When consumers are committed to the brand, the spillover of negative information is minimized, but positive information spills over more freely to other associated but unmentioned attributes.",1
When It Pays to Wait: Optimizing Release Timing Decisions for Secondary Channels in the Film Industry,Journal of Marketing,2016,"This study examines the optimization of interrelease timing decisions, focusing on box office and DVD sales in the U.S. motion picture industry. It aims to improve managerial decision making by jointly modeling the revenue in these two channels through a copula modeling approach. As in previous studies, the authors find that the time lag from box office release to DVD release should be increased to optimize total movie performance, but they conclude that previous studies have systematically underestimated the optimal time lag. This study is the first to challenge the assumption of a negative decay in DVD performance as a function of time; its results suggest that a delayed DVD release is still optimal for maximizing revenue in the DVD channel. This study's model suggests that, on average, individual movies are approximately eight weeks away from their optimal lag and that the net impact of optimizing would be improvements in total and DVD revenue by 2.5% and 5.6%, respectively. Therefore, this model is expected to enhance managerial decision making by offering the ability to predict the optimal time lag for individual movies.",0
Decomposition of the Sales Impact of Promotion-Induced Stockpiling,Journal of Marketing Research,2007,"Promotion-induced consumer stockpiling has a negative impact on manufacturers because it moves forward in time brand sales that would have occurred later at full margin. However, the resultant increase in consumer inventory has two potential benefits: increased category consumption and preemptive brand switches (the additional inventory of the promoted brand preempts the consumer's purchase of a competing brand in the future). Furthermore, there is a potential impact on repeat purchases of the stockpiled brand after the promotion. In this article, the authors present a model and simulation-based method to measure the benefits and costs of stockpiling and assess their relative magnitudes. They find that the benefits are substantial, but consumption appears to be the most important, followed by preemptive switching and then an increase in repeat purchases. These benefits easily offset the negative aspect of consumer stockpiling?namely, purchase acceleration by loyal customers who would have bought the brand at regular price at a later date.",1
An Empirical Analysis of the Determinants of Retail Margins: The Role of Store-Brand Share,Journal of Marketing,2004,"The authors develop and test a model of the key determinants of margins that retailers earn on national brands and store brands. They particularly focus on the impact of store-brand share on percentage margin, dollar margin per unit, and total dollar margin of the retailer. The authors find not only that percentage retail margins on store brands are higher than on national brands but also that high store-brand share enables retailers to earn higher percentage margins on national brands. However, the dollar margin per unit may be smaller for store brands because of their lower retail price. Furthermore, heavy store-brand users contribute much less to the total dollar profit of the retailer than do light store-brand users. The authors conclude that it is important for retailers to retain a balance between store brands and national brands to attract and retain the most profitable customers.",0
"Promotion Profitability for a Retailer: The Role of Promotion, Brand, Category, and Store Characteristics",Journal of Marketing Research,2006,"The purpose of this article is to quantify the net unit and net profit impact of promotions for a retailer and to understand the key correlates of this impact. Using data on all promotions offered in 2003 by CVS, a leading U.S. drug retailer, the authors (1) quantify the gross promotional lift; (2) decompose this into switching, stockpiling, and incremental lift for the retailer; (3) estimate the extent to which promotion affects sales of other product categories in the store to compute the net unit impact of the promotion; (4) account for promotional and nonpromotional margins and manufacturer funding to compute the net profit impact of the promotion; and (5) examine how promotion, brand, category, and store characteristics influence the net impact. The authors find that approximately 45% of the gross lift is incremental for CVS, and there is also a significant, positive halo effect on sales of other categories. However, on average, the net profit impact of promotions is negative because CVS's promotional margin is often substantially less than regular margin. In the authors' analysis of the correlates of net impact, they find that many promotion and brand characteristics have opposing associations with net unit and net profit impact. Deep, featured promotions on high ?consumer-pull? brands generate high net unit impact, but they significantly reduce CVS's promotional margin, resulting in lower net profit impact. Therefore, the retailer must make some difficult trade-offs between revenue and profit objectives in promotion decisions.",1
Market Response to a Major Policy Change in the Marketing Mix: Learning from Procter & Gamble's Value Pricing Strategy,Journal of Marketing,2001,"Much research has focused on how consumers and competitors respond to short-term changes in advertising and promotion. In contrast, the authors use Procter & Gamble's (P&G's) value pricing strategy as an opportunity to study consumer and competitor response to a major, sustained change in marketing-mix strategy. They compile data across 24 categories in which P&G has a significant market share, covering the period from 1990 to 1996, during which P&G instituted major cuts in deals and coupons and substantial increases in advertising. The authors estimate an econometric model to trace how consumers and competitors react to such changes. For the average brand, the authors find that deals and coupons increase market penetration and surprisingly have little impact on customer retention as measured by share-of-category requirements and category usage. For the average brand, advertising works primarily by increasing penetration, but its effect is weaker than that of promotion. The authors find that competitor response is related to how strongly the competitor's market share is affected by the change in marketing mix and the competitor's own response and to structural factors such as market share position and multi-market contact. The net impact of these consumer and competitor responses is a decrease in market share for the company that institutes sustained decreases in promotion coupled with increases in advertising.",0
